date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
18241,-1770215362.8225992,575803720.4639518,-6472356.283439057,-27620871.57399009,-412111796.0550002,-675781207.7368194,0.0,-2316397874.007896,-3588945469.1853204,1272547595.1774244,0.12517472183998954
18242,1114039456.7962098,1023763195.4889963,-2572723.934799993,-6952661.252226585,-61555293.73059873,-853532775.5887092,0.0,1213189197.7788715,2040392051.3995104,-827202853.6206388,0.22255721641065138
18243,-1534909933.023335,-855399277.909174,-12935057.790689014,-14207649.302858325,-239603116.90579644,327229426.0634059,0.0,-2329825608.868447,-2936977256.6135335,607151647.7450867,-0.1859563647628639
18244,1781895130.673798,829824267.3827361,16212736.97211051,-29155345.87552482,52803104.27485605,-404127247.54301107,0.0,2247452645.8849645,3285656076.190152,-1038203430.3051877,0.1803965798658122
18245,-1725626513.2620575,1320612221.0014868,18847759.292164534,-23895524.565608,-309444789.6067437,-792710310.2670413,0.0,-1512217157.4077992,-3483945949.692151,1971728792.2843518,0.28708961326119276
18246,-1449915000.501212,35391962.39166645,434187.94470353064,-18187996.598982915,177995781.70554477,-40951195.79404598,0.0,-1295232260.852326,-2727191537.4116044,1431959276.5592785,0.007693904867753576
18247,-409733245.41033065,998294952.115206,5259730.608285991,-11864776.238456953,38522982.585609235,-935751349.805198,0.0,-315271706.14488435,-706537342.9101543,391265636.76527,0.2170206417641752
18248,-1770215362.8225992,874948636.4049236,-762713.3545661292,-9141208.945580173,-72554748.75375,-913990141.9069642,0.0,-1891715539.378536,-3588945469.1853204,1697229929.8067844,0.19020622530541817
18249,-493615404.60190845,188145186.0247147,23939598.070738077,23909033.546571653,-153671850.74780363,-460213196.2470608,0.0,-871506633.9547484,-943102374.9980164,71595741.04326797,0.04090112739667711
18250,-1021983734.1947061,2527338637.6729083,12649211.095365986,-24355561.551450856,-10857940.676210623,-1255199079.6747801,0.0,227591532.6711266,-1822527185.042924,2050118717.7140505,0.5494214429723714
18251,-670405236.5225466,1102714085.657226,32381693.695416026,-24334211.968008198,-172608319.60192615,-967465078.8417976,0.0,-699717067.5816364,-1206342646.927022,506625579.34538555,0.2397204534037448
18252,1781895130.673798,135757480.64775568,25101239.361369614,-22704563.270752423,54944921.75945296,31166597.67672148,0.0,2006160806.8483455,3285656076.190152,-1279495269.3418067,0.029512495792990364
