date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
21772,-1435279951.2062483,784002894.3793097,25576734.002701335,4573852.663833133,-297347332.5487427,-726950231.6243256,0.0,-1645424034.3334727,-2693301905.406128,1047877871.0726552,0.17043541182158906
21773,-102204584.54850969,1053122582.7919737,7765415.176369048,-6955452.15828645,157993030.5113398,-351577803.2902431,0.0,758143188.4826434,-72354849.8118391,830498038.2944825,0.22893969191129862
21774,-1518649770.858815,770691006.4645425,14638553.960677702,-8665069.613480488,-93384812.97042695,-537548647.9777654,0.0,-1372918740.9952674,-2903086371.329545,1530167630.3342776,0.16754152314446577
21775,1187786242.4257483,-662408551.0153592,-5827458.342786331,-20980886.98645863,-101643783.78441231,549860106.047672,0.0,946785668.344404,2110201003.5704432,-1163415335.2260392,-0.14400185891638242
21776,-1769282461.819714,1211569732.966416,5325577.829482304,-28362342.61338787,-412111796.0550002,-903582857.6623819,0.0,-1896444147.3545856,-3588945469.1853204,1692501321.8307347,0.2633847245579165
21777,-1045519902.9041238,1237741770.4879565,42187983.51693094,-23253743.92064634,-108571912.9612985,-1157998114.53734,0.0,-1055413920.318521,-1864317059.9811773,808903139.6626563,0.2690742979321645
21778,1781895130.673798,-494819163.60117584,-10172461.115603883,-12788660.282287177,131169024.24492344,403461275.8886402,0.0,1798745145.8082948,3285656076.190152,-1486910930.3818574,-0.10756938339155997
21779,994612741.4552344,742853329.4244993,22483728.68380951,9960535.282089876,128567313.05568562,-702435654.9683924,0.0,1196041992.9329262,1798268102.8788805,-602226109.9459543,0.16148985422271722
21780,1781895130.673798,385091077.6026578,11122801.157240279,-24400595.806758642,117294734.95526378,-268606327.98340046,0.0,2002396820.5988011,3285656076.190152,-1283259255.591351,0.0837154516527517
21781,-1069338217.1454903,1101466129.4277265,28975766.81111145,-19725077.143080235,-329612440.61435515,-738233303.7720755,0.0,-1026467142.4361632,-1952436140.6875305,925968998.2513673,0.23944915857124488
21782,-1709106639.421836,1815035731.2850888,46392250.67016441,-28315642.366872232,-388494988.0119032,-1405070133.697657,0.0,-1669559421.5430152,-3442481675.8284507,1772922254.2854354,0.3945729850619758
21783,-1768775955.7914522,1521318424.8752313,38817009.34184204,-23585056.237170503,-41468219.82980081,-1401039299.0363345,0.0,-1674733096.6776848,-3588945469.1853204,1914212372.5076356,0.3307213967120068
21784,242792446.186694,782988257.0161476,7060215.365429573,-12922950.74571976,-124479621.27262111,-693816735.8943498,0.0,201621610.6555804,512404177.41032505,-310782566.75474465,0.1702148384817712
21785,-1770215362.8225992,-8212803.539036723,3902503.0955516417,1311810.3569755345,-275234521.666449,192713099.1695285,0.0,-1855735275.4060292,-3588945469.1853204,1733210193.7792912,-0.0017853920737036354
21786,-1144172610.82751,388830499.2155564,10077153.503197819,-7323689.796545085,-84616885.1255846,-402024402.23816264,0.0,-1239229935.2690482,-2074352384.1299753,835122448.8609271,0.08452836939468616
21787,-1754801596.5230787,1039678115.8232974,2183485.5026443345,-24265170.404865865,-244140593.10620618,-717489366.4199353,0.0,-1698835125.1281443,-3555719060.4587774,1856883935.3306332,0.22601698170071682
21788,924720920.8632354,-379884848.52916545,5430843.766862636,1207618.8517742446,-70944414.18050516,440702086.61141527,0.0,921232207.3836169,1614155839.3162346,-692923631.9326177,-0.08258366272373162
21789,812572382.1127129,1404195130.637272,9887774.108915407,-14115324.677202526,-41316479.029544175,-1035268513.2006387,0.0,1135954969.9515142,1616127008.826356,-480172038.8748417,0.30525981100810257
21790,1781895130.673798,1084339006.3295815,18477170.934754983,-6258532.195168063,247999574.84428316,-770176064.6484233,0.0,2356276285.9388266,3285656076.190152,-929379790.2513256,0.23572587094121336
21791,-1770215362.8225992,-266907840.9936928,-1039281.153784645,-19594381.198878877,-384782906.1005788,93862061.20301042,0.0,-2348677711.0665236,-3588945469.1853204,1240267758.1187968,-0.05802344369428104
21792,-1582178825.3502333,763778031.3350389,11174354.219226299,-9293051.626909789,38012690.39277391,-454808452.67016965,0.0,-1233315253.7002738,-3133779225.3376484,1900463971.6373746,0.1660387024641389
21793,317101994.5835828,1502037102.398864,15496256.762805812,323295.58829800435,-126440677.5831198,-879903878.8055693,0.0,828614092.9448615,714385154.0667887,114228938.87807286,0.32652980486931826
21794,-1759103343.7318351,350307721.151815,-7904151.786325574,-14723680.260982456,20781203.899257224,-135888780.9004465,0.0,-1546531031.6285176,-3553111835.022723,2006580803.3942056,0.07615385242430761
21795,-1653511513.5500195,640024023.8145148,-189100.63718931936,-20749024.069691967,-88782131.35649185,-802425347.6850737,0.0,-1925633093.4839516,-3211888867.3658457,1286255773.881894,0.13913565735098146
21796,-1770215362.8225992,335868206.8912563,-2134688.373348096,-30766845.15173014,-72554748.75375,-174800495.9776838,0.0,-1714603934.1878548,-3588945469.1853204,1874341534.9974656,0.07301482758505572
21797,-998021370.2726771,463612781.65072036,24441947.226656936,-26317261.5214347,-171595442.81632853,-174705923.97614762,0.0,-882585269.7092106,-1786555843.8616257,903970574.152415,0.100785387315374
21798,-1770215362.8225992,1028076259.3948778,27354775.634796087,-32444899.858818904,-376049728.60307866,-598742573.4516556,0.0,-1722021529.7064784,-3588945469.1853204,1866923939.478842,0.22349483899888647
