date,unhedged,irs_recv_5y,irs_recv_10y,fwd_recv_2y5y,fwd_recv_5y5y,payer_5y,payer_10y
2026-02-11,-39126499.999999925,739250.5946458131,36751352.03455646,12102148.417234495,-1701451.1978224963,-78992250.59464566,-115004352.03455631
2026-02-25,-39811800.0,3281835.8085160255,59945142.14148688,21223007.274013042,18760568.707342744,-82905435.80851603,-139568742.14148688
2026-03-11,200860799.99999994,13466601.994938076,-41532639.0674966,76517271.3186664,142537927.2475235,388254998.0050618,443254239.0674965
2026-03-25,118702500.00000001,26968904.943474546,48081295.170566574,111391763.26469518,139851114.25154674,210436095.05652547,189323704.82943344
2026-04-13,15044399.999999983,6149903.13719414,-89551177.86343099,-40012305.64165808,-82727165.42296268,23938896.86280583,119639977.86343096
2026-04-27,-22985899.99999994,-3857456.223632276,28318370.5527578,-4361866.621177375,9873462.271317065,-42114343.776367605,-74290170.55275768
2026-05-12,61900999.99999995,7109910.112387843,-905351.6597881839,36670834.59968395,53203415.48458905,116692089.88761204,124707351.65978807
2026-05-26,-85788500.00000001,-9585487.19840242,33440704.541320786,-24187201.00764157,-40972625.928677216,-161991512.8015976,-205017704.5413208
2026-06-09,60507999.99999999,10449805.77255439,-19302934.157897957,21567648.88340544,29595651.702188365,110566194.2274456,140318934.15789795
2026-06-23,-67882500.0,-3737512.8288149834,57968504.98457527,4367819.372836351,-3973654.716501832,-132027487.17118502,-193733504.98457527
2026-07-07,29134000.000000086,-7535511.550504122,-56433048.013002306,-32028478.159984265,-21535776.174340997,65803511.5505043,114701048.01300249
2026-07-21,134655499.99999997,16266164.158544272,-23139760.430883437,55158771.565846175,93142994.96796891,253044835.84145567,292450760.4308834
2026-08-04,-46504499.99999996,-348671.2906465158,13504134.26898817,-12868053.121286355,-31787023.738933764,-92660328.70935342,-106513134.2689881
2026-08-18,88094999.99999991,5747337.319725901,-52010178.177095026,9342948.407467753,28078828.617627293,170442662.68027392,228200178.17709485
